"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Março";"2020";2040;6466,06072751324;0;2221,80694353252;34075,9755549828;26817,2143207999;12555,8364575251;63471,4616169254;3,24157871287579;10518,3163728416;72327,6659809148;1687,87883949202;2466,75855347509;0;0;3022,24588775182;0;0;0;0;3472,86882465967;11101,1167535658;0;250208,434039474;1885,87;252094,304039474
"Março";"2020";2050;12859,4311961452;0;5228,61405717998;34012,4471194842;15483,3795968951;12179,1733763363;63472,1101662901;0,287443260214162;8893,64516455419;142919,749543883;5754,99880868292;0;0;0;5720,22089389425;463,443213300868;11124,246963601;0;11586,5314078842;6945,8086206445;22077,4368056014;0;347133,806381812;1881,52;349015,326381812
"Março";"2020";2060;6320,49624322443;0;2799,10232431275;21837,1353307122;3646,09621177724;11248,9202960865;63472,2532034276;0;12286,9887686569;53024,2892735864;0;0;0;0;12681,7493649659;32383,671264379;10112,9745750648;0;42492,3961748599;3472,91213666188;10851,2075115466;0;244133,59246415;1199,73;245333,32246415
"Março";"2020";2070;4552,65306103041;0;3152,56723342192;37529,8723230527;9359,42338263223;15007,3068320737;63472,0763175965;0;15662,4238855448;208533,26172274;348,885512141546;0;0;0;6409,38056726748;0;0;0;0;3472,90245827615;7816,12411308333;0;375316,925697635;2078,15;377395,075697635
"Março";"2020";2080;19357,1041012384;0;8777,00295080636;27912,3914013964;21132,71584058;24393,8568715291;63472,6254422135;0;5725,79820642103;169474,974861602;1305,10154002707;3946,88605511739;0;0;10127,7453928696;426,22041167147;10113,0338835214;0;10538,2003697634;12155,2637635454;33232,8262437177;0;411552,492936028;1539,16;413091,652936028
"Março";"2020";2083;6255,11859116321;0;3839,67324035065;26492,9575264542;16146,5257732861;5761,40485692425;63471,3556141797;0;9384,79547767623;36174,810454689;177,671160062172;2281,74785124489;0;0;2050,01260880174;0;0;0;0;3472,86302467301;10738,9653011515;0;186247,926039966;1468,28;187716,206039966
"Março";"2020";2087;9703,91802947662;0;9561,93189267038;45573,8641036276;3907,21563688688;4936,38974036842;63470,1845833914;0;8112,67838562883;30521,8357263465;646,065025721018;3946,734276432;0;0;9639,72958660805;0;0;2273,149385111;2275,42253449611;6945,59790242096;16659,9621549922;0;215901,532832399;2523,26;218424,792832399
"Março";"2020";2090;100608,743928833;140393,416839633;55292,7308335911;41131,4641444771;20784,1099078354;54664,2699656538;63473,4279471971;41,2804655016311;7243,67749399936;1249922,22822639;8838,62118753186;3946,93595687751;4381,46647009155;0;17737,8626079859;0;20226,3234917757;0;20224,3008594265;29520,2995128953;172727,949805865;0;1990932,81172536;2275,14;1993207,95172536
"Março";"2020";2100;6792,42224662973;0;5207,69682472852;33421,1283689808;3235,4058033107;5501,3924201927;63470,7105029943;0,525655192282452;10226,2577693002;23220,0611088013;0;0;0;0;7394,13225228319;0;10112,7287780516;0;10111,7175051738;5209,24159069788;11661,423481303;0;185452,136210269;1848,33;187300,466210268
"Março";"2020";2110;10075,791934293;0;6853,00120328169;37337,8646233501;15725,7019307573;13788,320985142;63471,6953969224;35,3247739325224;9827,98384110552;83598,2083752892;0;3946,82822258306;0;0;25737,6973065996;1358,20034129714;11124,1742703052;0;12481,1263741412;5209,32242405192;17298,4058394762;0;305387,272661931;2065,27;307452,542661931
"Março";"2020";2120;8932,15708394202;0;23539,3788763981;28970,2535317962;1022,28061709155;27195,8946985698;63472,9145296458;0;20751,9041027946;262834,146655474;0;0;0;17725,4250893334;11370,7153567377;73774,7144643549;10113,0799435509;0;83879,4056284651;5209,42248212338;15334,981038473;0;570238,839461153;1604,94;571843,779461153
"Março";"2020";2125;13224,9669011413;0;1713,5349254017;48129,5364516215;1022,28066022398;20482,9762026079;63472,9172077173;0;12996,084355416;766908,935191949;0;0;0;2538,82239870102;3579,40910007698;0;11124,3884072701;0;11123,2759684294;5209,42270192117;0;0;950402,17475139;2670,83;953073,00475139
"Março";"2020";2130;6294,12671944257;0;3583,72177892866;21434,5342062924;9711,56045819997;10629,6144234369;63472,2256354896;460,653272385618;9235,90695663791;73628,870901909;4667,9699169587;0;0;0;3105,88495631637;4520,35327183036;10112,9701826911;0;14631,860122176;3472,91062827008;10805,935563977;0;235135,80693981;1185,85;236321,65693981
"Março";"2020";2140;9094,24983907535;0;6324,26097389648;0;3969,91037020996;23753,4103236231;63473,7775021187;1,34865620230456;13556,6907716575;171098,510404532;0;0;0;0;9671,37375453475;0;0;0;0;3472,99553933245;15613,2664854354;0;320029,816515125;-29,14;320000,676515125
"Março";"2020";2150;3642,33889005514;0;2399,80018138338;26471,4935530212;13502,3163129163;8198,58074111902;63471,4721512697;0;15552,0329052302;17721,7297697919;620,235006638751;0;0;0;8101,39231574398;7640,44792958209;20225,700261514;0;27863,361576277;1736,43470052547;6253,27088292067;0;195534,462312064;1459,57;196994,032312064
"Março";"2020";2160;59920,1525022348;0;65321,0767193127;23960,3458018127;51974,2033998367;33199,6723087874;63473,3065003265;89,0894019136809;5042,87915636512;375729,535179698;0;2466,83025313024;2930,47709836441;0;18592,1973426155;30330,5766454282;0;254,065371383892;30581,8630245189;26047,273261973;102872,620108317;0;862201,522123576;1310,81;863512,332123576
"Março";"2020";2170;4773,60250736589;0;2771,90052582641;21535,5287054111;16361,8545928049;6602,04758443693;63471,6940505975;0;14372,8660642913;18731,1755236629;823,752498060485;0;0;0;3709,218408931;0;11124,1740343457;0;11123,0616169422;3472,88154236986;8195,45639958184;0;175945,03176298;1189,84;177134,87176298
"Março";"2020";2180;9704,46773925771;0;5721,31152807931;0;1022,29455708241;12780,1296756869;63473,7800570101;0;6286,16729910495;37393,1326915618;0;0;0;0;10254,5562647478;47987,1372680996;0;0;47982,3385543727;6945,9913582489;16660,9059123613;0;218225,084458122;-14,03;218211,054458122
"Março";"2020";2190;4290,35668455776;0;1968,72978610103;0;15218,5585588066;10872,4452509028;63473,7811096116;0;16351,4352709572;27512,9005253608;0;0;0;0;6820,6199889773;49795,2652189446;11124,5398164165;0;60913,7130548575;3472,995736718;7365,80624228597;0;218261,314756613;-15,21;218246,104756613
"Março";"2020";2200;25024,5784410211;0;5664,13123734867;38086,7573720683;14513,384343473;13603,8362076492;63472,2115088018;0;6759,04172310775;166273,262605382;886,752565411724;4440,21785516939;43,8686608395218;0;21130,3057589213;630,343213414536;0;0;630,280179093194;10418,7295659665;42962,9071995089;0;413910,292902092;2087,57;415997,862902092
"Março";"2020";2210;6251,38928300251;0;5722,80475634891;20707,2523562343;11403,8962137577;4109,58199863541;63471,7345614692;0,0255941114382593;8580,86434423606;26011,5870438591;0;0;0;0;1933,76629912382;0;10112,891940328;0;10111,8806511339;3472,88375893994;10732,5627189539;0;172510,217427277;1146,71;173656,927427277
"Março";"2020";2220;9505,61752491497;0;2214,39768272779;42070,1494598995;18533,8582287077;8608,68312314691;63470,6635783277;0;6871,62555914183;24486,6581888228;1209,76589041961;3453,41855383965;0;0;3456,27431887204;24538,1361578824;0;0;24535,6823442666;5209,23773944235;16319,5142151727;0;229945,528241671;2330,25;232275,778241671
"Março";"2020";2230;299119,315050646;417402,911941692;11906,8194319638;22991,8222292206;1105,78091110798;97360,7870896217;63473,7206575535;18,2698452868374;7075,80885468357;5121201,41096859;9022,80073776825;0;10184,3517566523;0;7525,08699011241;0;0;0;0;53831,382650386;513536,537863742;0;6635756,84932252;1271,26;6637028,10932252
"Março";"2020";2235;8520,14391780561;0;2037,60946700654;52263,4643335781;8763,02663127569;7248,83443321115;63471,5383979838;0;6632,39908031757;216057,916623263;193,823641872832;2738,10530662343;0;0;4827,35398316234;0;0;4726,8601002313;4731,58696033153;5209,30953865338;14627,6251298245;0;397322,742401108;2897,71;400220,452401108
"Março";"2020";2240;7547,13546770708;0;3640,06987034687;30350,723686849;6303,96112573386;12546,8843499649;63471,8806921496;0;10908,6135154136;115342,731629622;232,589624567747;0;0;499,305760998668;5143,86907618205;0;0;0;0;3472,89175454413;12957,1365801594;0;272417,753927881;1681,77;274099,523927881
