"IBGE1";"IBGE2";"SEF";"Municípios";"População bruto";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Número Equipes de Saúde";"Mês";"Ano";"Meio Ambiente";"População";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação a acertar";"Índice de participação"
312720;2720;272;"FUNILÂNDIA";4304;0;0,0341966146510356;0;0,141113084582825;0,203004571341806;0,117233294255569;0,008873;0,156799974287053;0,00617943507129724;0,0405033577283557;0;0;0;0,0205007904190013;0,0500406294887942;0;0;2;"Julho";2019;0,022743466102657;0,0204556301508004;0,0363834818992178;0,0227701989096439;0;0,02061599;0,02061599
312730;2730;273;"GALILÉIA";6844;0;0,122813666641427;0,180157114873709;0,0105834813437119;0,0984790686582782;0,117233294255569;0,002092;0,069461811980628;0,00901731119189537;0;0;0;0;0,0634623252387455;0;0;0;3;"Julho";2019;0;0,0325274936691631;0,0545752228488266;0,0362080021695175;0;0,02427149;0,02427149
312733;2733;793;"GAMELEIRAS";5122;0;0,295816225013793;0;0,0873137210856231;0,019818051215677;0,117233294255569;0;0,110334077182727;0,00196551590751097;0,00360029846474273;0;0;0;0,174992023126053;0,428322183438811;0;3,41808778756361;3;"Julho";2019;0,505718421041228;0,0243433405279739;0,0545752228488266;0,0270978064161701;0;0,02287445;0,02287445
312735;2735;794;"GLAUCILÂNDIA";3136;0;0,0248098433215278;0;0,0105834813437119;0,0168791596494562;0,117233294255569;0;0,121357989108573;0,0010735718758017;0;0;0;0;0,115929328489099;0;0,423549343498515;0,0799454659718178;2;"Julho";2019;0,199778214023511;0,0149044740132226;0,0363834818992178;0,0165909255995919;0;0,0139512;0,0139512
312737;2737;795;"GOIABEIRA";3328;0;0,0191655102345035;0;0,177755448879499;0,0218938862417552;0,117233294255569;0;0,134804430303321;0,00274578709006987;0;0;0;0;0,0173116047995457;0;0,211774671749258;0;2;"Julho";2019;0,0962515883100376;0,0158169928303587;0,0363834818992178;0,0176066965546689;0;0,0149921;0,0149921
312738;2738;796;"GOIANÁ";3940;0;0,0259090567397436;0;0,0843356470297398;0,0985065747088327;0,117233294255569;0;0,168046558871952;0,00453767148374818;0,566686978350505;0,228440890919475;0;0;0,0403450891080706;0;0,211774671749258;0;1;"Julho";2019;0,0962515883100376;0,0187256465599799;0,0181917409496089;0,020844466473977;0;0,01831344;0,01831344
312740;2740;274;"GONÇALVES";4345;0;0,0322725651174455;0;0,178660924505572;0,0995737106718623;0,117233294255569;0;0,162485683528177;0,00539838077523234;0,0511242381993467;0,228440890919475;0;0;0,0231458807730253;0,5630700115082;0,423549343498515;0;2;"Julho";2019;0,448418496850552;0,0206504909398763;0,0363834818992178;0,0229871083323427;0;0,0234394;0,0234394
312750;2750;275;"GONZAGA";6145;0;0,0356111063364916;0,172331503662249;0,276934428493795;0,0350530107926845;0,117233294255569;0;0,110129235919562;0,0114014594151099;0;0,342661336379212;0;0;0,0307807555412559;0,328124414355381;0,211774671749258;0;3;"Julho";2019;0,245384134634558;0,029205354850527;0,0545752228488266;0,0325099610361901;0;0,02936821;0,02936821
312760;2760;276;"GOUVEIA";11833;0;0,147374695762863;0,200189454507111;0,096497831007222;0,0734971394623654;0,117233294255569;0,21276;0,0704024063927954;0,0167947097809532;0,361289950936933;0;0;0;0,0850239582790067;0,398483498790662;0;0,0697797100958497;5;"Julho";2019;0,187460703819078;0,0562387248081833;0,0909587047480444;0,0626021755803478;0;0,03590148;0,03590148
312770;2770;277;"GOVERNADOR VALADARES";278685;2,49991343572616;0,400301146984041;0,169911031682301;0,128126565002905;0,540497721061207;0,117233294255569;0,098721;0,0564897278700309;0,58803821925577;0,684056708301118;0,285551113649343;2,904356122919;0;0,212724698375063;0,0275495244582788;0;0;61;"Julho";2019;0,0125212588662877;1,3245068049665;1,10969619792614;1,47437566987317;0;0,63103823;0,63103823
