"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";360;5062,69;0;2186;36470,98;20710,69;13135,12;92368,63;0,33;23119,81;19785,44;0;1283,93;0;0;2763,28;0;0;0;0;2428,93;8698,49;0;228014,47;-8815,12;219199,35
"Novembro";"2021";370;15355,19;0;7413,94;31448,88;20281,35;9940,98;92368,63;0,09;13893,05;113745,16;0;0;0;0;10227;120917,63;0;0;120905,54;9715,73;26382,62;0;471678,22;-51614,44;420063,78
"Novembro";"2021";375;12590,42;0;7204,96;0;31736,74;35607,16;92368,63;0;37596,94;4549230,72;702,55;0;0;0;6145,4;0;0;0;0;7286,79;0;0;4780470,35;502566,37;5283036,72
"Novembro";"2021";380;5149,88;0;4195,97;0;26593,24;11170,15;92368,63;0;29658,64;236716,85;25,95;1187,64;0;0;6199;0;0;0;0;2428,93;8848,3;0;424543,22;-28397,23;396145,99
"Novembro";"2021";390;17077,27;0;5977,2;50634,56;17337,94;33617,88;92368,63;0,08;12221,08;244662,3;0;0;0;0;3370,02;0;0;0;0;7286,79;29341,42;0;513895,18;98518,51;612413,69
"Novembro";"2021";400;194981,78;271625,45;28489,78;0;23572,86;81866,54;92368,63;3730,96;17871,97;21564006,85;0;0;8993,03;0;18857,69;1376,31;51162,62;0;52533,69;55865,45;0;0;22414764,68;1364331,36;23779096,04
"Novembro";"2021";410;19769,38;0;3958,43;45711,21;16831,7;22596,18;92368,63;0;15550,81;647579,8;1668,33;0;0;0;7247,54;0;25581,31;0;25578,75;7286,79;33966,88;0;940114,54;-100779,82;839334,72
"Novembro";"2021";420;73351,82;0;12446,09;35117,55;34710,05;61928,53;92368,63;1942,33;15575,17;4190025,72;3724,1;0;4334,9;0;19239,63;5211,27;25581,31;0;30789,5;29147,19;0;0;4604701,27;72182,39;4676883,66
"Novembro";"2021";430;27576,87;0;6875,37;52848,69;15578,58;32499,58;92368,63;0;13487,23;287994,5;0;0;0;6398,19;7988,56;0;0;0;0;9715,73;47381,35;0;600713,33;4888,22;605601,55
"Novembro";"2021";440;4911,91;0;3897,15;31620,65;27844,94;26466,08;92368,63;0;21505,66;23058,07;2031,66;1283,93;0;0;4685,76;8746,14;0;0;8745,26;2428,93;8439,44;0;259288,12;-6564,02;252724,1
"Novembro";"2021";445;9571,34;0;5953,51;32254,74;36062,86;12220,99;92368,63;0;16917,59;33617,95;611,72;0;0;0;18457,29;21552,71;0;0;21550,56;4857,86;16445,05;0;300890,15;-1697,19;299192,96
"Novembro";"2021";450;32447;0;128744,78;41611,67;11092,97;58036;92368,63;0;11144,64;369532,36;2686,02;0;0;0;68194,39;3580,1;0;0;3579,74;21860,39;55749,01;0;897047,65;-95430,77;801616,88
"Novembro";"2021";460;25922;0;3886,9;37817,48;2776,8;16832,58;92368,63;2,96;12737,78;454695,99;33833,89;5344,39;0;0;6205,21;0;25581,31;0;25578,75;9715,73;44538,03;0;772257,18;63562,75;835819,93
"Novembro";"2021";470;23030,07;0;44119,9;36442,1;11769,37;13464,17;92368,63;15,92;7966,14;93982,46;0;0;0;0;47315,43;0;0;0;0;12144,66;39569,25;0;422188,15;153159,55;575347,7
"Novembro";"2021";480;8812,02;0;30525,63;45282,69;18156,03;51114,09;92368,63;17,53;14785,41;62475,05;105,66;1925,9;0;0;14759,6;0;0;329,92;330,25;4857,86;15140,43;0;360656,85;7703,15;368360
"Novembro";"2021";490;34875,72;0;18335,89;43684,65;19003,31;24976,38;92368,63;0,18;9882,34;264550,74;4385,87;4493,78;1920,28;0;16909,52;48925,32;0;0;48920,43;19431,46;59921,92;0;663661,1;-21921,81;641739,29
"Novembro";"2021";500;14174,44;0;13584,74;50858,8;14261,38;18194,37;92368,63;0;12900,26;106162,6;266,93;4750,56;0;0;9229,92;0;0;0;0;9715,73;24353,91;0;370822,29;31671,66;402493,95
"Novembro";"2021";510;43411,63;0;35497,24;0;15564,34;61066,46;92368,63;16,04;12635,63;1260489,21;133,46;0;1007,67;0;32675,78;0;0;0;0;17002,53;74587,95;0;1646456,64;40730,69;1687187,33
"Novembro";"2021";520;8657,62;0;11841,12;30911,24;3204;18128,89;92368,63;0;11478,62;26002,32;837,87;0;0;0;62245,04;19115,66;0;0;19113,75;4857,86;14875,14;0;304522,1;4835,8;309357,9
"Novembro";"2021";530;10495,95;0;1149,15;43294,5;19749,48;23165,09;92368,63;3,02;20420,45;84513,84;787,82;0;0;0;1666,46;0;0;0;0;4857,86;18033,69;0;320505,96;0;328797,96
"Novembro";"2021";540;59702,35;0;8314,32;46208,52;60021,7;147660,59;92368,63;125,66;21434,99;2039714,77;176,1;0;3669,46;0;3908,74;78,17;0;0;78,16;24289,32;102577,94;0;2610251,3;1117989,31;3728240,61
"Novembro";"2021";550;9725,74;0;4863,93;42009,82;1281,6;8309,84;92368,63;0;12234,47;35518,45;0;0;0;0;5246,87;0;0;0;0;7286,79;16710,34;0;235556,49;2393,81;237950,3
