"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";4140;37709,52167043;0;35038,0197010655;46694,8826284554;17287,3892355764;14345,1382177866;92368,6360262377;28,2327658221953;6951,74760839878;138648,819098066;0;0;0;0;40476,0004665342;0;0;13508,0144601072;13521,5224745673;17002,5301621393;64790,8312442666;0;524863,322740912;-20146,17;504717,152740912
"Novembro";"2021";4150;11709,406844626;0;7453,25118419869;36180,058560893;1281,60216738213;10052,1006179937;92368,6360262377;0;9171,38564371108;36806,1478349007;0;0;0;0;8911,93091719397;0;0;0;0;7286,79864091683;20118,5846235629;0;241339,861762898;14948,97;256288,831762898
"Novembro";"2021";4160;19542,3206383008;0;8511,33990745583;45653,5136979945;15631,9864360412;18400,3189473342;92368,6360262377;0,0802230001036602;10984,192168389;125829,989495875;7488,98354052226;0;0;0;15406,7421480129;0;25581,313808565;0;25578,7556771842;9715,73152122244;33576,7504468336;0;428689,296171221;187,15;428876,446171221
"Novembro";"2021";4170;10074,5222401948;0;6713,51679761145;41138,1074159753;20546,9307479516;8549,43283867708;92368,6360262377;1,17039626936947;10594,8426571358;27655,6582390803;0;0;0;0;12744,579317292;0;25581,313808565;0;25578,7556771842;7286,79864091683;17309,5982504313;0;280562,581157949;859,72;281422,301157949
"Novembro";"2021";4180;57215,5115397434;0;44333,526885656;49164,0376134055;36418,8615897748;16561,4166471714;92368,6360262377;0,0458417143449487;5623,77079905626;244352,035039424;10325,1580001755;6419,68887823404;0;0;98323,1775059164;0;0;15938,3640044203;15954,3023684248;24289,3288030561;98305,1597716973;0;799654,718573547;48319,11;847973,828573547
"Novembro";"2021";4190;7071,78418338957;0;5385,9010899344;0;12474,2610958525;33322,5212698585;92368,6360262377;0;23820,2317762981;93482,2703987143;0;0;0;0;5896,5480601598;0;25581,313808565;0;25578,7556771842;4857,86576061122;12150,4266117795;0;316409,147871957;14542,61;330951,757871957
"Novembro";"2021";4200;24741,253680392;0;17625,2093416764;45402,7965461516;1281,60216738213;21266,6277660856;92368,6360262377;0,00859532143967787;9215,53746335803;63742,7512079381;0;5135,75110258723;0;0;16982,3021938979;0;25581,313808565;2067,35361086351;27648,1766416586;17002,5301621393;42509,3271133923;0;384922,464615445;-60,26;384862,204615445
"Novembro";"2021";4210;19595,0002533325;0;7361,21162520747;51344,8892828246;17807,1501145703;17782,9145303125;92368,6360262377;9,2127520297614;9021,94212868633;125226,133063383;0;0;0;0;9554,85690440353;90617,0857576968;0;0;90608,024049121;12144,664401528;33667,2622299679;0;486491,908160364;17858,36;504350,268160364
"Novembro";"2021";4220;27449,7125083996;0;7834,83694203231;35169,8354010408;9932,41679721134;27671,8536637065;92368,6360262377;0;9400,91659466497;318168,706717031;367,034341837473;5777,71999041063;0;0;13055,5441501759;9472,98329833418;25581,313808565;0;35050,7916771885;12144,664401528;47162,8812048804;0;641555,518082158;-68776,54;572778,978082158
"Novembro";"2021";4225;8926,46994019428;0;14681,1641377637;35468,9207879908;0;4669,87185891227;92368,6360262377;0;11117,0187276074;11627,2056411169;111,222527829539;0;0;0;28523,871434354;0;0;4995,36814592576;5000,36351407169;4857,86576061122;15337,0655972988;0;232689,714261994;699,95;233389,664261994
"Novembro";"2021";4230;8962,80070918164;0;3771,66882454996;38126,1794689366;15443,3061169544;19149,125156563;92368,6360262377;0;19181,6881118595;67174,1231310704;0;0;0;0;2514,44505549325;44716,725706195;0;0;44712,2540336244;4857,86576061122;15399,4875167017;0;331661,545766666;-35168,26;296493,285766666
"Novembro";"2021";4240;13722,1314465258;0;4949,1404240583;36004,1830637418;24621,7136390226;21438,37049837;92368,6360262377;1,77063621657364;15156,1852858869;184171,220795913;0;0;0;0;8362,21755438872;0;0;0;0;7286,79864091683;23576,758958485;0;431659,163724617;44993,04;476652,203724617
"Novembro";"2021";4250;4000,0176655083;0;16003,8971102158;0;17949,5503553905;15070,6101503081;92368,6360262377;11,7827531402251;46145,5904521583;70262,8100691738;0;0;0;0;9845,65811459599;145,21353888471;0;70,8393089656329;216,10916580542;2428,93288030561;6872,6533262621;0;281176,249754561;85227,35;366403,599754561
"Novembro";"2021";4260;15852,9310476344;0;5309,48628366318;39627,3944048904;17834,2061603261;36132,7427512512;92368,6360262377;0;14057,2544168;318570,998520886;1855,56250595609;4156,74854865654;0;0;8786,97551053943;0;0;0;0;7286,79864091683;27237,8045314666;0;589077,486374727;-62541,96;526535,526374727
"Novembro";"2021";4270;26788,4925128297;0;37928,8430910257;37379,252424596;1281,60216738213;12268,2129588554;92368,6360262377;0,140390250181405;8309,70561819151;92936,2080412659;0;0;0;0;47782,8665311571;10915,555452891;0;11279,0308790323;22204,7738072571;19431,4630424449;46026,8022717471;0;444707,01447322;-47260,13;397446,88447322
"Novembro";"2021";4280;38576,0105107785;0;63387,1804174057;36372,5338767751;30651,6518365554;69763,0242041636;92368,6360262377;0;17904,5941226319;1892937,21065421;0;0;0;0;57758,5828423793;430,067227629918;25581,313808565;0;26008,7798980913;12144,664401528;0;0;2337872,86084905;-251131,82;2086741,04084905
"Novembro";"2021";4290;37595,0797481198;0;24523,2935307928;35158,6478307539;19971,6337750378;20383,8527467897;92368,6360262377;0,262157303910175;5666,87685028333;120619,627659492;0;0;2281,52983919144;0;42984,2506583834;29706,3383884676;0;25296,0841393278;55024,7479780959;26718,2616833617;64594,2021981474;0;547890,955443041;5674,1;553565,055443041
"Novembro";"2021";4300;23891,1136860877;0;10296,7120424765;35774,7347023062;13604,2070067611;49002,3388259402;92368,6360262377;0;15847,5537087375;598985,821545405;3203,20880149065;0;0;11,2943979521101;20341,9312396302;4387,033745679;0;0;4386,59504230443;9715,73152122244;41048,6541993638;0;918478,503343388;83518,44;1001996,94334339
"Novembro";"2021";4310;87068,5044166569;0;32806,8538400025;0;13884,0234799728;59050,6801675555;92368,6360262377;40,6916842490083;18271,1486639454;2024339,90077522;2194,79121583624;0;2167,45334723187;9045,16840765268;41030,3797969665;0;51162,6276171301;0;51157,5113543684;34005,0603242785;149597,250945081;0;2617028,0701838;261714,68;2878742,7501838
"Novembro";"2021";4315;8942,81878623859;0;9416,11074464802;34819,3725880179;4485,6075858374;15470,1341910819;92368,6360262377;0;13617,5367573858;16321,4618354696;0;0;0;0;13802,6468592644;0;0;1848,90243541966;1850,75133785508;4857,86576061122;15365,1554610301;0;231318,044215578;-24506,98;206811,064215578
"Novembro";"2021";4320;39079,1916612535;0;14464,1265570125;44622,7405618074;33364,3764241808;37624,8186306543;92368,6360262377;0;14038,3899006204;721023,391812478;0;5344,39099112984;3422,29475878716;0;11345,4878339481;0;0;0;0;19431,4630424449;67144,1376057569;0;1103273,40483339;20599,43;1123872,83483339
"Novembro";"2021";4330;751115,03381382;1046364,20901039;87027,9195562801;61144,8295029374;1281,60216738213;90233,1807989314;92368,6360262377;1233,09913927192;7168,46558096176;10135557,9199522;0;0;36504,477427063;0;92572,3756325106;15586,9530951349;25581,313808565;4998,4845950172;46167,6331566218;342479,536123091;1290532,60940787;0;14081751,4904123;-1493688;12588063,4904123
"Novembro";"2021";4340;43649,6023998633;0;7088,75499965257;68819,0879571088;9389,87187968625;96696,2329773485;92368,6360262377;2,21902548501017;16609,0738427639;493487,202921496;155,711538961354;4493,78221476383;0;0;7602,81683919912;32,1283904539854;25581,313808565;0;25610,8808547991;21860,3959227505;74996,8150666449;0;962831,087796727;-7794,91;955036,177796727
"Novembro";"2021";4345;15104,5172064948;0;27604,543594528;45366,6009542841;19046,0322097063;7904,25797143713;92368,6360262377;0;9362,18875697439;58817,5064308263;142,735577381241;4493,78221476383;0;0;28875,8492346879;7759,69032070392;0;0;7758,91435167188;9715,73152122244;25951,9129917663;0;352513,235492159;-37519,78;314993,455492159
"Novembro";"2021";4350;16185,3575838688;0;50819,0199482601;61787,9132316668;23923,2404577993;28874,3804678179;92368,6360262377;0;12080,7979943257;579027,336111085;350,350962663044;1925,90666347021;0;47282,7679262895;21014,5339229384;2131,04436599188;25581,313808565;0;27709,5869387395;9715,73152122244;27808,9650940033;0;1000874,54396236;-78166,98;922707,563962356
"Novembro";"2021";4360;4426,90420110978;0;10093,3461203553;33194,4682838983;33090,967961806;9805,14570575395;92368,6360262377;0;28537,6703464688;114682,919885575;507,916210421562;1187,6424424733;0;0;9093,45642440798;0;0;0;0;2428,93288030561;7606,11087924648;0;347024,147771789;6529,71;353553,857771789
"Novembro";"2021";4370;5727,54573085726;0;11636,0463146935;0;0;10226,2933819837;92368,6360262377;0;20094,6319352172;13841,0998289254;0;0;0;0;2777,84840345017;42889,6372460066;0;0;42885,3482822819;4857,86576061122;9840,81559387121;0;214256,163482544;-1880,6;212375,563482544
"Novembro";"2021";4380;10888,3314655117;0;4656,1763105584;45526,173981558;8223,61390736853;20066,3923528922;92368,6360262377;0;16711,6709085317;154297,199607025;0;3562,92732741989;0;0;12982,4870291875;0;0;0;0;7286,79864091683;18707,8492450568;0;395278,319688322;-42151,37;353126,949688322
