"Mês";"Ano";"IBGE2";"População";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Meio Ambiente";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação";"Compensações";"Valor Líquido + Compensações"
"Novembro";"2021";4560;76003,97;0;21898,09;42464,7;36810,11;72151,37;92368,64;8,73;11736,25;1183853,96;8497,4;3851,81;5095,42;0;18606,06;70,75;25581,31;0;25649,5;29147,19;130586,66;0;1758729,89;71254,75;1829984,64
"Novembro";"2021";4570;3869,23;0;2709,19;0;11468,92;10179;92368,64;0;32078,09;16347,06;441,18;0;0;0;9209,05;0;0;0;0;2428,93;6647,93;0;187747,25;8190,91;195938,16
"Novembro";"2021";4580;5725,73;0;5935,7;0;17517,37;10918,53;92368,64;184,9;23431,08;162226,69;2880,66;1187,64;0;0;7287,67;0;0;0;0;2428,93;9837,69;0;341931,28;-37179,14;304752,14
"Novembro";"2021";4585;8470,52;0;2178,19;65708,64;27768,05;5784,37;92368,64;0;15003,84;105509,16;2602,61;0;0;0;7162,54;0;0;0;0;4857,87;14553,67;0;351968,11;-37423,43;314544,68
"Novembro";"2021";4587;14675,81;0;2974,56;117893,65;1281,6;4663,66;92368,64;0;11046,22;74343,77;0;0;0;0;10817,21;0;0;0;0;7286,8;25215,33;0;362567,25;-39076,45;323490,8
"Novembro";"2021";4590;72419,94;0;6318,02;43838,81;41438,47;118269,57;92368,64;3,12;23336,67;4267450,47;1408,82;0;0;0;4362,83;117759,14;28139,45;0;145884;24289,33;0;0;4841388,74;-531463,18;4309925,56
"Novembro";"2021";4600;61382,65;0;13024,45;0;13335,78;68718,73;92368,64;74,16;10814,42;1012355,91;0;5344,39;3156,12;0;12612,01;0;25581,31;0;25578,76;12144,66;105464,95;0;1436375,64;-159620,62;1276755,02
"Novembro";"2021";4610;135437,47;0;30432,38;0;64906,96;0;92368,64;8785,34;0;12895455,91;0;0;4867,26;0;7564,49;21048,08;0;0;21045,97;51007,59;0;0;13311872;-1517723,21;11794148,79
"Novembro";"2021";4620;10743,01;0;4301,93;34675,25;1281,6;10158,12;92368,64;0;9818,93;23431,5;0;0;0;0;21434,86;0;0;0;0;7286,8;18458,16;0;233958,77;23585,95;257544,72
"Novembro";"2021";4625;11667,63;0;10909,5;46619,85;23386,39;9206,31;92368,64;0;9342,02;118027,8;64,88;0;0;0;15885,81;0;0;3,48;3,49;7286,8;20046,8;0;364815,93;106549,93;471365,86
"Novembro";"2021";4630;36788,54;0;13290,07;66743,5;4485,61;17634,85;92368,64;17,77;7992,95;105302,97;0;5777,72;0;0;29170,77;0;0;6120,58;6126,7;17002,53;63208,44;0;465911,02;19740,26;485651,28
"Novembro";"2021";4640;8105,39;0;15593,01;0;9932,42;14570,71;92368,64;0;15655,53;99547,93;0;0;0;4077,59;13055,49;281,39;0;0;281,36;4857,87;13926,33;0;291972,22;-27920,28;264051,94
"Novembro";"2021";4650;15070;0;10292,81;0;24375,36;34340,41;92368,64;105,95;25966,02;1241937,59;244,69;0;0;0;14527,42;443,96;25581,31;0;26022,67;7286,8;25892,61;0;1518430,98;-166426,8;1352004,18
"Novembro";"2021";4655;11069,99;0;20510,66;61986,6;20826,04;14777,16;92368,64;0;11755,76;14038,14;0;0;0;0;20730,33;0;0;43560,95;43604,51;7286,8;19019,96;0;337974,6;11852,11;349826,71
"Novembro";"2021";4660;2766,59;0;1432,11;0;20178,83;9050,71;92368,64;0;41068,11;13004,27;830,46;0;0;0;3022,38;0;0;0;0;2428,93;4753,43;0;190904,46;-5154,25;185750,21
"Novembro";"2021";4670;12009,14;0;7732,54;0;16966,99;17381,21;92368,64;3,38;8614,84;64922,06;222,45;5135,75;0;0;16538,29;17924,3;25581,31;0;43501,27;7286,8;20633,57;0;313316,92;8575,62;321892,54
"Novembro";"2021";4675;9716,66;0;10582,84;48847,44;1281,6;9249,45;92368,64;0;12744,34;34098,76;0;0;0;0;25805;0;0;0;0;7286,8;16694,74;0;268676,25;4124,8;272801,05
