"IBGE1";"IBGE2";"SEF";"Municípios";"População bruto";"População dos 50 + Populosos";"Área Geográfica";"Educação";"Patrimônio Cultural";"Receita Própria";"Cota Mínima";"Mineradores";"Saúde per capita";"VAF";"Esportes";"Turismo";"Penitenciárias";"Recursos Hídricos";"Produção de Alimentos";"Unidades de Conservação (IC i)";"Saneamento";"Mata Seca";"Número Equipes de Saúde";"Mês";"Ano";"Meio Ambiente";"População";"PSF";"ICMS Solidário";"Índice Mínimo per capita";"Índice de participação"
310700;700;70;"BIQUINHAS";2532;0;0,0782145733783156;0;0;0,0309774110433388;0,117233294255569;0;0,23515582138248;0,00686097787943181;0;0;0;0,00133001108874044;0,0659739840425118;0;0;0;1;"Dezembro";2020;0;0,012033841900982;0,0177336407164391;0,013389130543071;0;0,0170354600234467
310710;710;71;"BOA ESPERANÇA";40031;0;0,146747547642083;0,163530514089897;0,124355905788615;0,234216346029832;0,117233294255569;0,002668;0,106273681676851;0,158146819797107;0,0617451186703378;0,399771559109081;0,205397681873302;0,731617562829186;0,207428349195981;0,208055713886983;0,297265160523188;0;8;"Dezembro";2020;0,229668337419423;0,190255420670699;0,141869125731513;0,211682576923252;0;0,158968540023447
310720;720;72;"BOCAINA DE MINAS";5091;0;0,0856858162084831;0,142370682231211;0,0802580668564819;0,0737422846379951;0,117233294255569;0;0,0937020682804536;0,0040325037845578;0;0;0;0;0,063293071047774;0,133351210576363;0,297265160523188;0;2;"Dezembro";2020;0,195715140664746;0,0241960067606238;0,0354672814328782;0,0269210361748714;0;0,0212254800234467
310730;730;73;"BOCAIÚVA";49942;0;0,550724668801459;0,174684244867946;0,100543072765263;0,137913438415712;0,117233294255569;0,010958;0,0497685170180459;0,0812639128492404;0;0;0,218088156497053;0;0,422952883541287;0,395533959494247;0,297265160523188;0,120087254443771;13;"Dezembro";2020;0,325805140202307;0,237359451903177;0,230537329313708;0,264091610419451;0;0,108200210023447
310740;740;74;"BOM DESPACHO";50166;0;0,205909088437991;0;0,160974751237858;0,418586267267272;0,117233294255569;0,001793;0,105545025083001;0,163658950147989;1,45164034098427;0;0,174376521681911;0;0,179762684017533;0;0;0;15;"Dezembro";2020;0;0,238424057189836;0,266004610746586;0,26527611485928;0;0,165373220023447
310750;750;75;"BOM JARDIM DE MINAS";6489;0;0,0701911675287653;0,167413732510985;0,0480960429953129;0,0979802027985253;0,117233294255569;0,001644;0,126007925779605;0,0119520627751549;0;0,342661336379212;0;0;0,0368474219180329;0,0181614970251001;0,297265160523188;0;3;"Dezembro";2020;0,143361415855697;0,0308402843978958;0,0532009221493173;0,0343136129913063;0;0,0281382800234467
310760;760;76;"BOM JESUS DA PENHA";4190;0;0,0354509108925966;0;0,11688867172944;0,0894527655283617;0,117233294255569;0;0,215573859831514;0,0240957675870152;0;0;0;0;0,095014932713;0;0;0;2;"Dezembro";2020;0;0,0199138221031258;0,0354672814328782;0,0221565785843078;0;0,0326581700234467
310770;770;77;"BOM JESUS DO AMPARO";6031;0;0,0332593008835648;0;0,120504694521875;0,284612941234076;0,117233294255569;0,012941;0,0964901886845393;0,0104633241805471;0;0;0;0;0,0227913054263113;0;0,594530321046376;0;2;"Dezembro";2020;0,270214030915578;0,0286635468028525;0,0354672814328782;0,0318917244491552;0;0,0278559800234467
310780;780;78;"BOM JESUS DO GALHO";15010;0;0,101079916684054;0,190419992779223;0,0105834813437119;0,0488141645100777;0,117233294255569;0;0,054342422303717;0,0121587960332433;0;0;0;0;0,0912903563846979;0;0;0;6;"Dezembro";2020;0;0,0713380596104818;0,106401844298635;0,0793723734010644;0;0,0291519200234467
310790;790;79;"BOM REPOUSO";10558;0;0,0391575607912312;0,155089132776834;0,115748007629062;0,0600799924646395;0,117233294255569;1,1e-05;0,0910352429891563;0,0337600942834712;0,00576047754358836;0,456881781838949;0;0;0,158757021343031;0;0,297265160523188;0;5;"Dezembro";2020;0,135107015457789;0,0501790295381391;0,0886682035821954;0,0558303476594562;0;0,0465599000234467
